,Dem,T_DryBulb,T_DewPnt,fest,dlf,dfnl,D_cf,med,des,der,med_d,des_d,d_s,d,j,l,m,s,v,w,d_cf,j_cf,l_cf,m_cf,s_cf,v_cf,w_cf
2015-10-08 19:00:00,0.6219572983301487,57,44,0,0,0,,0.6379081166403588,0.0556857691800396,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 20:00:00,0.5977818393287364,55,45,0,0,0,,0.6198659134335798,0.04961285232938424,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 21:00:00,0.5560355570324832,54,45,0,0,0,,0.58041953975243,0.04715518588186267,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 22:00:00,0.5009138489656891,53,46,0,0,0,,0.5314857522638531,0.045429887288879166,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-08 23:00:00,0.4510260031569328,51,46,0,0,0,,0.48369614521890836,0.045421476559618826,,13.35536263188502,1.024900755510615,j,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-09 00:00:00,0.41858436487496886,51,46,0,0,0,v_cf,0.44689291351665694,0.0477914498640904,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 01:00:00,0.40109661875882696,50,47,0,0,0,v_cf,0.4262690039046274,0.04860171947156414,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 02:00:00,0.39224889922738226,50,48,0,0,0,v_cf,0.4174613275733156,0.04947179125705876,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 03:00:00,0.39083658718949904,50,48,0,0,0,v_cf,0.4175228877627316,0.05059932243690784,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 04:00:00,0.40230123784996263,52,48,0,0,0,v_cf,0.43105694940599815,0.05223723125656417,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 05:00:00,0.4413890504278475,52,49,0,0,0,v_cf,0.47059067874054994,0.0552769873704342,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 06:00:00,0.514621583451026,53,49,0,0,0,v_cf,0.5433890296585527,0.061013914372772746,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 07:00:00,0.5610201877544239,53,50,0,0,0,v_cf,0.5853185386724267,0.060729846585001766,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 08:00:00,0.5827448699842154,55,52,0,0,0,v_cf,0.5989110451109081,0.05549000160677517,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-10-09 09:00:00,0.5978649165074355,57,53,0,0,0,v_cf,0.6085287239345352,0.05158667189253105,,13.164432769793137,1.169742429670336,v,0,0,0,0,0,1,0,0,0,0,0,0,1,0
